#time	observable	value
9.55 	ideal_proj	2.13601100424037e-06

9.6 	ideal_proj	2.04570777169918e-06

9.65 	ideal_proj	1.98818490754453e-06

9.7 	ideal_proj	1.95913141989566e-06

9.75 	ideal_proj	2.00711512790457e-06

9.8 	ideal_proj	2.08067490710016e-06

9.85 	ideal_proj	2.18328940841641e-06

9.9 	ideal_proj	2.31769193764342e-06

9.95 	ideal_proj	2.48570204750052e-06

10 	ideal_proj	2.68808652012672e-06

10.05 	ideal_proj	2.92445492596838e-06

10.1 	ideal_proj	3.19319955929927e-06

10.15 	ideal_proj	3.49148245273113e-06

10.2 	ideal_proj	3.8152711385914e-06

10.25 	ideal_proj	4.15942539366669e-06

10.3 	ideal_proj	4.51783134866057e-06

10.35 	ideal_proj	4.88357767141576e-06

10.4 	ideal_proj	5.24916816527629e-06

10.45 	ideal_proj	5.6067606844676e-06

10.5 	ideal_proj	5.94842446613099e-06

10.55 	ideal_proj	6.26640217179362e-06

10.6 	ideal_proj	6.55336759123899e-06

10.65 	ideal_proj	6.80266668303949e-06

10.7 	ideal_proj	7.00853320282792e-06

10.75 	ideal_proj	7.1662696082467e-06

10.8 	ideal_proj	7.27238464184571e-06

10.85 	ideal_proj	7.32468593981317e-06

10.9 	ideal_proj	7.32232425884045e-06

10.95 	ideal_proj	7.26578370112861e-06

11 	ideal_proj	7.15682983462881e-06

11.05 	ideal_proj	6.99841080934083e-06

11.1 	ideal_proj	6.79452214282768e-06

11.15 	ideal_proj	6.5500415812464e-06

11.2 	ideal_proj	6.92375129501006e-06

11.25 	ideal_proj	7.38282788534519e-06

11.3 	ideal_proj	7.94357885317383e-06

11.35 	ideal_proj	8.62245125695568e-06

11.4 	ideal_proj	9.43546015308896e-06

11.45 	ideal_proj	1.0397546997633e-05

11.5 	ideal_proj	1.15218958477259e-05

11.55 	ideal_proj	1.28192112894599e-05

11.6 	ideal_proj	1.42970115318459e-05

11.65 	ideal_proj	1.59589488894162e-05

11.7 	ideal_proj	1.78042030626157e-05

11.75 	ideal_proj	1.98269696881869e-05

11.8 	ideal_proj	2.20160809276856e-05

11.85 	ideal_proj	2.43547950211314e-05

11.9 	ideal_proj	2.68207548567646e-05

11.95 	ideal_proj	2.93861720515752e-05

12 	ideal_proj	3.20181821402276e-05

12.05 	ideal_proj	3.46794514523938e-05

12.1 	ideal_proj	3.73289243368281e-05

12.15 	ideal_proj	3.99228352708673e-05

12.2 	ideal_proj	4.24157897528972e-05

12.25 	ideal_proj	4.47619985307472e-05

12.3 	ideal_proj	4.69165758040132e-05

12.35 	ideal_proj	4.88368578086562e-05

12.4 	ideal_proj	5.04836918432018e-05

12.45 	ideal_proj	5.18226482858621e-05

12.5 	ideal_proj	5.28251002582738e-05

12.55 	ideal_proj	5.34691315728611e-05

12.6 	ideal_proj	5.37402341659087e-05

12.65 	ideal_proj	5.23249057937812e-05

12.7 	ideal_proj	5.05844558857887e-05

12.75 	ideal_proj	4.8555907354345e-05

12.8 	ideal_proj	4.62810702104505e-05

12.85 	ideal_proj	4.38052225055453e-05

12.9 	ideal_proj	4.11757332419347e-05

12.95 	ideal_proj	3.84406673952572e-05

13 	ideal_proj	3.56474351497056e-05

13.05 	ideal_proj	3.28415376913446e-05

13.1 	ideal_proj	3.00654422121996e-05

13.15 	ideal_proj	2.73576295236862e-05

13.2 	ideal_proj	2.47518349383852e-05

13.25 	ideal_proj	2.22765062802098e-05

13.3 	ideal_proj	1.99544572495907e-05

13.35 	ideal_proj	1.78027731896522e-05

