#time	operator	index	value
42.7	X	15	-0.0565120426152878
42.7	Y	15	0.0330439820981204
42.7	Z	15	-0.00571070457849148
42.7	X	17	-0.0590553314531889
42.7	Y	17	0.0225594181208529
42.7	Z	17	-0.0107068391970993
42.7	X	19	-0.0176119297722217
42.7	Y	19	0.00999485880425189
42.7	Z	19	0.00254646687905098
42.7	X	21	-0.0771677742924829
42.7	Y	21	0.0340092844503845
42.7	Z	21	0.00223225946608311
42.7	X	23	-0.0461727940118233
42.7	Y	23	0.0210202372767689
42.7	Z	23	0.00324745717184866

42.75	X	1	-0.130148976392729
42.75	Y	1	-0.0648006443061855
42.75	Z	1	0.0142065067215382
42.75	X	3	-0.0876436619671742
42.75	Y	3	0.0339337386455056
42.75	Z	3	0.00212640826625157
42.75	X	5	-0.0277885085984504
42.75	Y	5	0.136908148660144
42.75	Z	5	-0.0235731260981079
42.75	X	7	-0.0832412765517666
42.75	Y	7	-0.0155168619321446
42.75	Z	7	0.0243393631207398
42.75	X	9	-0.045543905246122
42.75	Y	9	-0.254665934414152
42.75	Z	9	0.0207823307430142
42.75	X	11	-0.06901659951308
42.75	Y	11	0.0153400858127891
42.75	Z	11	-0.0714613879340479
42.75	X	13	-0.0784679534710771
42.75	Y	13	0.00352668286603561
42.75	Z	13	0.00864937999583503
42.75	X	15	-0.0576104619830163
42.75	Y	15	-0.0372254592063311
42.75	Z	15	0.0050719694270144
42.75	X	17	-0.0613211514677551
42.75	Y	17	-0.0246175078700861
42.75	Z	17	0.0104145657684052
42.75	X	19	-0.0179728297833321
42.75	Y	19	0.0108445914825533
42.75	Z	19	0.00285311771301042
42.75	X	21	-0.0792955083625688
42.75	Y	21	0.0369057409970921
42.75	Z	21	0.00261020768882671
42.75	X	23	-0.0473912548643666
42.75	Y	23	-0.0226678367409134
42.75	Z	23	-0.00356472163213795

42.8	X	1	-0.126806503966327
42.8	Y	1	-0.0594726034888105
42.8	Z	1	0.0145245751153496
42.8	X	3	-0.083328489796356
42.8	Y	3	0.0336747580951254
42.8	Z	3	0.00241488058587642
42.8	X	5	-0.0202434692728334
42.8	Y	5	0.138361671448193
42.8	Z	5	-0.0233501333770084
42.8	X	7	-0.0800205592598747
42.8	Y	7	-0.0129626130903932
42.8	Z	7	0.0245348020439069
42.8	X	9	-0.0596677376479795
42.8	Y	9	-0.251306492985787
42.8	Z	9	0.0212706752553097
42.8	X	11	-0.0660235271496867
42.8	Y	11	0.0157114521275025
42.8	Z	11	-0.0711513027229571
42.8	X	13	-0.0752503967902144
42.8	Y	13	0.00373964809646757
42.8	Z	13	0.00887413524883949
42.8	X	15	-0.0564389992480207
42.8	Y	15	-0.033002035048544
42.8	Z	15	0.00570385747307622
42.8	X	17	-0.0590025166579164
42.8	Y	17	-0.0225396368371283
42.8	Z	17	0.0107007316125942
42.8	X	19	-0.0170290511508144
42.8	Y	19	0.0107898537182915
42.8	Z	19	0.00315967430256104
42.8	X	21	-0.0757345340115036
42.8	Y	21	0.0368730658661405
42.8	Z	21	0.00298801279646395
42.8	X	23	-0.0460644858783327
42.8	Y	23	-0.0209713320596639
42.8	Z	23	-0.00324528886823557

42.85	X	1	-0.123352837379408
42.85	Y	1	-0.0543561262964749
42.85	Z	1	0.0148425407236208
42.85	X	3	-0.0791144516956107
42.85	Y	3	0.0333051767130867
42.85	Z	3	0.00270326948404558
42.85	X	5	-0.0125898480417446
42.85	Y	5	0.139007492987845
42.85	Z	5	-0.0231271889707715
42.85	X	7	-0.0767913247447149
42.85	Y	7	-0.0105632318541424
42.85	Z	7	0.0247302015428615
