#time	observable	value
15.3 	ideal_proj	8.10203665253514e-07

15.35 	ideal_proj	8.2945124209546e-07

15.4 	ideal_proj	8.47217019146624e-07

15.45 	ideal_proj	8.63643152877961e-07

15.5 	ideal_proj	8.78923222489977e-07

15.55 	ideal_proj	8.93293251165984e-07

15.6 	ideal_proj	9.07020385677275e-07

15.65 	ideal_proj	9.20388861562072e-07

15.7 	ideal_proj	9.3368448822163e-07

15.75 	ideal_proj	9.4717854210421e-07

15.8 	ideal_proj	9.61111069039595e-07

15.85 	ideal_proj	9.75675157776002e-07

15.9 	ideal_proj	9.91003134555124e-07

15.95 	ideal_proj	1.00715462711469e-06

16 	ideal_proj	1.02410799343235e-06

16.05 	ideal_proj	1.04175571155777e-06

16.1 	ideal_proj	1.05990319920373e-06

16.15 	ideal_proj	1.07827210789239e-06

16.2 	ideal_proj	1.09650806265466e-06

16.25 	ideal_proj	1.11419160625236e-06

16.3 	ideal_proj	1.13085281402585e-06

16.35 	ideal_proj	1.14598893433712e-06

16.4 	ideal_proj	1.15908331320794e-06

16.45 	ideal_proj	1.16962543905056e-06

16.5 	ideal_proj	1.17713150903657e-06

16.55 	ideal_proj	1.18116337664447e-06

16.6 	ideal_proj	1.18134581339928e-06

16.65 	ideal_proj	1.17738170801564e-06

16.7 	ideal_proj	1.16906327192659e-06

16.75 	ideal_proj	1.15627972308712e-06

16.8 	ideal_proj	1.13902154838957e-06

16.85 	ideal_proj	1.1173799861397e-06

16.9 	ideal_proj	1.09154289521139e-06

16.95 	ideal_proj	1.06178755884939e-06

17 	ideal_proj	1.02846973635879e-06

17.05 	ideal_proj	9.92010595919715e-07

17.1 	ideal_proj	9.52882286174132e-07

17.15 	ideal_proj	9.11591894126641e-07

17.2 	ideal_proj	8.68665456388099e-07

17.25 	ideal_proj	8.24632670272027e-07

17.3 	ideal_proj	7.8001217417052e-07

17.35 	ideal_proj	7.35298609333419e-07

17.4 	ideal_proj	6.90951860964222e-07

17.45 	ideal_proj	6.4738816965604e-07

17.5 	ideal_proj	6.04973648304827e-07

17.55 	ideal_proj	5.64020462279194e-07

17.6 	ideal_proj	5.24784727949779e-07

17.65 	ideal_proj	4.8746691481846e-07

17.7 	ideal_proj	4.52213773160015e-07

17.75 	ideal_proj	4.19121784740979e-07

17.8 	ideal_proj	3.88241552133017e-07

17.85 	ideal_proj	3.59583236679946e-07

17.9 	ideal_proj	3.33122306806312e-07

17.95 	ideal_proj	3.08805238386982e-07

18 	ideal_proj	2.86555434113381e-07

18.05 	ideal_proj	2.66278701121488e-07

18.1 	ideal_proj	2.47868075011349e-07

