#time	operator	index_1	index_2	index_3	value
0.95	XZZ	19	15	23	0.0369955630128762
0.95	XZZ	23	19	21	0.0107509590678689
0.95	XZZ	21	23	17	-0.0013425750600735
0.95	XZZ	17	21	13	-0.00399715207920823
0.95	XZZ	13	17	9	0.0216421287181752
0.95	XZZ	9	13	5	0.121001435769838
0.95	XZZ	5	9	1	0.0126657735352858

1	XZZ	1	5	3	-0.00333755877994825
1	XZZ	3	1	7	-0.0304177298303136
1	XZZ	7	3	11	-0.0950514890890535
1	XZZ	11	7	15	-0.0491273819251611
1	XZZ	15	11	19	0.00010867417345881
1	XZZ	19	15	23	0.0351425657890715
1	XZZ	23	19	21	0.0083039368186869
1	XZZ	21	23	17	0.00140318142638751
1	XZZ	17	21	13	-0.00351064569412362
1	XZZ	13	17	9	0.021194869980183
1	XZZ	9	13	5	0.0856585335482203
1	XZZ	5	9	1	0.0472567244105899

1.05	XZZ	1	5	3	0.000254510275475268
1.05	XZZ	3	1	7	-0.0276548620904537
1.05	XZZ	7	3	11	-0.0973464581448025
1.05	XZZ	11	7	15	-0.0457371801690794
1.05	XZZ	15	11	19	-0.00244663082306481
1.05	XZZ	19	15	23	0.0339248504251738
1.05	XZZ	23	19	21	0.0062138675287123
1.05	XZZ	21	23	17	0.00377786023371804
1.05	XZZ	17	21	13	-0.00333526322269775
1.05	XZZ	13	17	9	0.0209130893168884
1.05	XZZ	9	13	5	0.0538844218122712
1.05	XZZ	5	9	1	0.0773774576198493

1.1	XZZ	1	5	3	0.967731981248666
1.1	XZZ	3	1	7	0.970763739032963
1.1	XZZ	7	3	11	0.971327879881202
1.1	XZZ	11	7	15	0.901104097508558
1.1	XZZ	15	11	19	0.966376477579594
1.1	XZZ	19	15	23	0.927273827408212
1.1	XZZ	23	19	21	0.944952340361996
1.1	XZZ	21	23	17	0.960449608652366
1.1	XZZ	17	21	13	0.953911305301935
1.1	XZZ	13	17	9	0.918897528515387
1.1	XZZ	9	13	5	0.826372444165656
1.1	XZZ	5	9	1	0.815559359310656

1.15	XZZ	1	5	3	0.963181687317875
1.15	XZZ	3	1	7	0.967232660102739
1.15	XZZ	7	3	11	0.969100649444571
1.15	XZZ	11	7	15	0.900274765613084
1.15	XZZ	15	11	19	0.962996161841788
1.15	XZZ	19	15	23	0.922448706403894
1.15	XZZ	23	19	21	0.940297318216214
1.15	XZZ	21	23	17	0.956978282387514
1.15	XZZ	17	21	13	0.952132372164351
1.15	XZZ	13	17	9	0.915861776136692
1.15	XZZ	9	13	5	0.798891964782663
1.15	XZZ	5	9	1	0.793798313668143

1.2	XZZ	1	5	3	0.957932395319033
1.2	XZZ	3	1	7	0.963094835726739
1.2	XZZ	7	3	11	0.966319784663813
1.2	XZZ	11	7	15	0.898879804685121
1.2	XZZ	15	11	19	0.958051273714515
1.2	XZZ	19	15	23	0.916792873376934
1.2	XZZ	23	19	21	0.93515056915447
1.2	XZZ	21	23	17	0.95298456419516
1.2	XZZ	17	21	13	0.949909136754824
1.2	XZZ	13	17	9	0.912523775045454
1.2	XZZ	9	13	5	0.767473573070256
1.2	XZZ	5	9	1	0.767439209738689

1.25	XZZ	1	5	3	0.951993876591373
1.25	XZZ	3	1	7	0.958356841326355
1.25	XZZ	7	3	11	0.962989435476893
1.25	XZZ	11	7	15	0.896922839260043
1.25	XZZ	15	11	19	0.951559044699697
1.25	XZZ	19	15	23	0.91032090615155
1.25	XZZ	23	19	21	0.929519462969099
1.25	XZZ	21	23	17	0.948474269115093
1.25	XZZ	17	21	13	0.947244560158512
1.25	XZZ	13	17	9	0.908886104429725
1.25	XZZ	9	13	5	0.732477429566742
1.25	XZZ	5	9	1	0.736828054147232

1.3	XZZ	1	5	3	0.945377409906447
1.3	XZZ	3	1	7	0.953026147750447
1.3	XZZ	7	3	11	0.959114747337414
1.3	XZZ	11	7	15	0.89440835718421
1.3	XZZ	15	11	19	0.943540835047932
1.3	XZZ	19	15	23	0.903049202270655
1.3	XZZ	23	19	21	0.923412258999849
1.3	XZZ	21	23	17	0.943454252102103
1.3	XZZ	17	21	13	0.944142525318973
1.3	XZZ	13	17	9	0.904952025951964
1.3	XZZ	9	13	5	0.694298988448396
1.3	XZZ	5	9	1	0.702355115714541

1.35	XZZ	1	5	3	0.938095005747468
1.35	XZZ	3	1	7	0.947110764918118
1.35	XZZ	7	3	11	0.954701224391124
1.35	XZZ	11	7	15	0.891341286806483
1.35	XZZ	15	11	19	0.934021760160965
1.35	XZZ	19	15	23	0.894995265164536
1.35	XZZ	23	19	21	0.916837467625202
1.35	XZZ	21	23	17	0.937931661443525
1.35	XZZ	17	21	13	0.940607077986441
1.35	XZZ	13	17	9	0.900724763441681
1.35	XZZ	9	13	5	0.653363855645923
1.35	XZZ	5	9	1	0.664449512286234

1.4	XZZ	1	5	3	0.930159415641069
1.4	XZZ	3	1	7	0.940619466095707
1.4	XZZ	7	3	11	0.949754903261661
1.4	XZZ	11	7	15	0.887727259145345
1.4	XZZ	15	11	19	0.923030908022571
1.4	XZZ	19	15	23	0.886177763954885
1.4	XZZ	23	19	21	0.909804004642771
1.4	XZZ	21	23	17	0.931913984493493
1.4	XZZ	17	21	13	0.936642492622277
1.4	XZZ	13	17	9	0.896207599436302
1.4	XZZ	9	13	5	0.61012304475457
1.4	XZZ	5	9	1	0.623574083783053

1.45	XZZ	1	5	3	0.921584773643371
1.45	XZZ	3	1	7	0.933561951731303
1.45	XZZ	7	3	11	0.944282727998413
1.45	XZZ	11	7	15	0.883572724369971
1.45	XZZ	15	11	19	0.91060128580991
1.45	XZZ	19	15	23	0.876616985309958
1.45	XZZ	23	19	21	0.902321567587642
1.45	XZZ	21	23	17	0.925409658149655
1.45	XZZ	17	21	13	0.932253873944106
1.45	XZZ	13	17	9	0.891404401099018
1.45	XZZ	9	13	5	0.565048261476292
1.45	XZZ	5	9	1	0.580220320095607

1.5	XZZ	1	5	3	0.912385928140348
1.5	XZZ	3	1	7	0.925948440548877
1.5	XZZ	7	3	11	0.938292030041744
1.5	XZZ	11	7	15	0.878884538957396
1.5	XZZ	15	11	19	0.896769353257992
1.5	XZZ	19	15	23	0.866334207535412
1.5	XZZ	23	19	21	0.894400071596791
1.5	XZZ	21	23	17	0.918427430397444
1.5	XZZ	17	21	13	0.927446511935707
1.5	XZZ	13	17	9	0.886319050737717
1.5	XZZ	9	13	5	0.518626166967382
1.5	XZZ	5	9	1	0.534902050188805

1.55	XZZ	1	5	3	0.902578233068327
1.55	XZZ	3	1	7	0.917789693981787
1.55	XZZ	7	3	11	0.931790501253844
1.55	XZZ	11	7	15	0.873670231692469
1.55	XZZ	15	11	19	0.88157514014406
1.55	XZZ	19	15	23	0.855351670586263
1.55	XZZ	23	19	21	0.886049810362112
1.55	XZZ	21	23	17	0.910976229072554
1.55	XZZ	17	21	13	0.922225832334515
1.55	XZZ	13	17	9	0.880955353467197
1.55	XZZ	9	13	5	0.4713529302299
1.55	XZZ	5	9	1	0.488149312853988

