#time	quantity	value
2.7 	max_bond_dim	11
2.7 	duration_ms	390

2.75 	tr_rho	1
2.75 	S_2	2.26619241136343
2.75 	OSEE_center	1.26518072710971
2.75 	max_bond_dim	5
2.75 	duration_ms	398

2.8 	tr_rho	1
2.8 	S_2	2.2680059864655
2.8 	OSEE_center	1.25858943596702
2.8 	max_bond_dim	5
2.8 	duration_ms	405

2.85 	tr_rho	1
2.85 	S_2	2.26981557881707
2.85 	OSEE_center	1.25182945145609
2.85 	max_bond_dim	10
2.85 	duration_ms	412

2.9 	tr_rho	1
2.9 	S_2	2.27162111394059
2.9 	OSEE_center	1.24490209985301
2.9 	max_bond_dim	6
2.9 	duration_ms	420

2.95 	tr_rho	1
2.95 	S_2	2.27342251824505
2.95 	OSEE_center	1.23780874636147
2.95 	max_bond_dim	6
2.95 	duration_ms	427

3 	tr_rho	1
3 	S_2	2.27521971907065
3 	OSEE_center	1.23055079525369
3 	max_bond_dim	11
3 	duration_ms	435

3.05 	tr_rho	1
3.05 	S_2	2.27701264473439
3.05 	OSEE_center	1.22312969001637
3.05 	max_bond_dim	5
3.05 	duration_ms	443

3.1 	tr_rho	1
3.1 	S_2	2.27880122457657
3.1 	OSEE_center	1.21554691350185
3.1 	max_bond_dim	6
3.1 	duration_ms	450

3.15 	tr_rho	1
3.15 	S_2	2.28058538900814
3.15 	OSEE_center	1.20780398808427
3.15 	max_bond_dim	10
3.15 	duration_ms	457

3.2 	tr_rho	1
3.2 	S_2	2.28236506955894
3.2 	OSEE_center	1.19990247582055
3.2 	max_bond_dim	6
3.2 	duration_ms	466

3.25 	tr_rho	1
3.25 	S_2	2.28414019892659
3.25 	OSEE_center	1.19184397861601
3.25 	max_bond_dim	6
3.25 	duration_ms	473

3.3 	tr_rho	0.999999999999998
3.3 	S_2	2.28591071102619
3.3 	OSEE_center	1.1836301383945
3.3 	max_bond_dim	9
3.3 	duration_ms	480

3.35 	tr_rho	1
3.35 	S_2	2.28767654104066
3.35 	OSEE_center	1.17526263727272
3.35 	max_bond_dim	6
3.35 	duration_ms	489

3.4 	tr_rho	1
3.4 	S_2	2.28943762547164
3.4 	OSEE_center	1.16674319773874
3.4 	max_bond_dim	6
3.4 	duration_ms	496

3.45 	tr_rho	0.999999999999998
3.45 	S_2	2.29119390219098
3.45 	OSEE_center	1.1580735828343
3.45 	max_bond_dim	10
3.45 	duration_ms	503

3.5 	tr_rho	1
3.5 	S_2	2.29294531049256
3.5 	OSEE_center	1.14925559634094
3.5 	max_bond_dim	6
3.5 	duration_ms	511

3.55 	tr_rho	1
3.55 	S_2	2.29469179114474
3.55 	OSEE_center	1.14029108296951
3.55 	max_bond_dim	6
3.55 	duration_ms	518

3.6 	tr_rho	0.999999999999998
3.6 	S_2	2.2964332864429
3.6 	OSEE_center	1.13118192855309
3.6 	max_bond_dim	10
3.6 	duration_ms	525

3.65 	tr_rho	1
3.65 	S_2	2.29816974026238
3.65 	OSEE_center	1.12193006024304
3.65 	max_bond_dim	6
3.65 	duration_ms	533

3.7 	tr_rho	1
3.7 	S_2	2.29990109811153
3.7 	OSEE_center	1.11253744670795
3.7 	max_bond_dim	6
3.7 	duration_ms	540

3.75 	tr_rho	1
3.75 	S_2	2.30162730718487
3.75 	OSEE_center	1.10300609833548
3.75 	max_bond_dim	10
3.75 	duration_ms	547

3.8 	tr_rho	1
3.8 	S_2	2.30334831641625
3.8 	OSEE_center	1.09333806743679
3.8 	max_bond_dim	5
3.8 	duration_ms	556

3.85 	tr_rho	1
3.85 	S_2	2.30506407653199
3.85 	OSEE_center	1.08353544845352
3.85 	max_bond_dim	6
3.85 	duration_ms	563

3.9 	tr_rho	0.999999999999999
3.9 	S_2	2.30677454010377
3.9 	OSEE_center	1.0736003781671
3.9 	max_bond_dim	11
3.9 	duration_ms	570

3.95 	tr_rho	1
3.95 	S_2	2.30847966160138
3.95 	OSEE_center	1.06353503591046
3.95 	max_bond_dim	6
3.95 	duration_ms	578

4 	tr_rho	1
4 	S_2	2.31017939744506
4 	OSEE_center	1.05334164378186
4 	max_bond_dim	6
4 	duration_ms	585

4.05 	tr_rho	0.999999999999993
4.05 	S_2	2.31187370605745
4.05 	OSEE_center	1.04302246686095
4.05 	max_bond_dim	10
4.05 	duration_ms	593

4.1 	tr_rho	1
4.1 	S_2	2.31356254791508
4.1 	OSEE_center	1.03257981342692
4.1 	max_bond_dim	6
4.1 	duration_ms	601

4.15 	tr_rho	1
4.15 	S_2	2.31524588559916
4.15 	OSEE_center	1.02201603517884
4.15 	max_bond_dim	6
4.15 	duration_ms	608

4.2 	tr_rho	0.999999999999996
4.2 	S_2	2.31692368384571
4.2 	OSEE_center	1.0113335274582
4.2 	max_bond_dim	10
4.2 	duration_ms	615

4.25 	tr_rho	1
4.25 	S_2	2.31859590959498
4.25 	OSEE_center	1.00053472947371
4.25 	max_bond_dim	6
4.25 	duration_ms	624

4.3 	tr_rho	1
4.3 	S_2	2.32026253203985
4.3 	OSEE_center	0.989622124528419
4.3 	max_bond_dim	6
4.3 	duration_ms	631

4.35 	tr_rho	0.999999999999993
4.35 	S_2	2.32192352267337
4.35 	OSEE_center	0.978598240249532
4.35 	max_bond_dim	10
4.35 	duration_ms	638

4.4 	tr_rho	1
4.4 	S_2	2.32357885533517
4.4 	OSEE_center	0.967465648820859
4.4 	max_bond_dim	6
