#time	quantity	value
2.5 	OSEE_center	2.43833644316289
2.5 	max_bond_dim	69
2.5 	duration_ms	3182189

2.55 	tr_rho	1.00000023761364
2.55 	S_2	9.05958775847044
2.55 	OSEE_center	2.42155953160171
2.55 	max_bond_dim	75
2.55 	duration_ms	3259148

2.6 	tr_rho	1
2.6 	S_2	9.06932959584308
2.6 	OSEE_center	2.4043823742392
2.6 	max_bond_dim	68
2.6 	duration_ms	3360260

2.65 	tr_rho	1
2.65 	S_2	9.07905567099914
2.65 	OSEE_center	2.38681023823207
2.65 	max_bond_dim	68
2.65 	duration_ms	3436669

2.7 	tr_rho	1.00000006963172
2.7 	S_2	9.08876657590167
2.7 	OSEE_center	2.3688485335164
2.7 	max_bond_dim	76
2.7 	duration_ms	3515975

2.75 	tr_rho	1
2.75 	S_2	9.09846256997179
2.75 	OSEE_center	2.35050280595475
2.75 	max_bond_dim	70
2.75 	duration_ms	3616313

2.8 	tr_rho	1
2.8 	S_2	9.10814349475296
2.8 	OSEE_center	2.33177873028354
2.8 	max_bond_dim	68
2.8 	duration_ms	3700325

2.85 	tr_rho	1.00000014772863
2.85 	S_2	9.11780960355672
2.85 	OSEE_center	2.31268210296406
2.85 	max_bond_dim	75
2.85 	duration_ms	3788008

2.9 	tr_rho	0.999999999999999
2.9 	S_2	9.12746129409435
2.9 	OSEE_center	2.2932188350971
2.9 	max_bond_dim	68
2.9 	duration_ms	3878164

2.95 	tr_rho	1
2.95 	S_2	9.1370980609552
2.95 	OSEE_center	2.27339494553709
2.95 	max_bond_dim	69
2.95 	duration_ms	3952055

3 	tr_rho	0.999999982527257
3 	S_2	9.14672026225398
3 	OSEE_center	2.2532165542737
3 	max_bond_dim	76
3 	duration_ms	4028709

3.05 	tr_rho	1
3.05 	S_2	9.15632789760251
3.05 	OSEE_center	2.2326898762727
3.05 	max_bond_dim	66
3.05 	duration_ms	4120510

3.1 	tr_rho	1
3.1 	S_2	9.16592103599475
3.1 	OSEE_center	2.21182121587193
3.1 	max_bond_dim	68
3.1 	duration_ms	4202360

3.15 	tr_rho	0.999999982802536
3.15 	S_2	9.17549960341623
3.15 	OSEE_center	2.19061696182451
3.15 	max_bond_dim	72
3.15 	duration_ms	4286216

3.2 	tr_rho	1
3.2 	S_2	9.18506348027412
3.2 	OSEE_center	2.16908358311888
3.2 	max_bond_dim	65
3.2 	duration_ms	4387004

3.25 	tr_rho	1
3.25 	S_2	9.19461259949116
3.25 	OSEE_center	2.14722762567199
3.25 	max_bond_dim	66
3.25 	duration_ms	4467714

3.3 	tr_rho	0.999999984749088
3.3 	S_2	9.20414673622859
3.3 	OSEE_center	2.12505570994453
3.3 	max_bond_dim	72
3.3 	duration_ms	4544180

3.35 	tr_rho	1
3.35 	S_2	9.21366560951371
3.35 	OSEE_center	2.1025745295764
3.35 	max_bond_dim	66
3.35 	duration_ms	4648289

3.4 	tr_rho	1
3.4 	S_2	9.22316896703839
3.4 	OSEE_center	2.07979085109823
3.4 	max_bond_dim	66
3.4 	duration_ms	4729064

3.45 	tr_rho	0.999999984372107
3.45 	S_2	9.23265639800285
3.45 	OSEE_center	2.05671151472104
3.45 	max_bond_dim	71
3.45 	duration_ms	4806406

3.5 	tr_rho	1
3.5 	S_2	9.24212742165961
3.5 	OSEE_center	2.03334343625999
3.5 	max_bond_dim	66
3.5 	duration_ms	4910686

3.55 	tr_rho	1
3.55 	S_2	9.2515815794671
3.55 	OSEE_center	2.00969361020478
3.55 	max_bond_dim	66
3.55 	duration_ms	4981143

3.6 	tr_rho	0.999999985521516
3.6 	S_2	9.2610182465923
3.6 	OSEE_center	1.98576911387732
3.6 	max_bond_dim	74
3.6 	duration_ms	5057865

3.65 	tr_rho	1
3.65 	S_2	9.27043672725126
3.65 	OSEE_center	1.961577112698
3.65 	max_bond_dim	66
3.65 	duration_ms	5146025

3.7 	tr_rho	0.999999999999999
3.7 	S_2	9.27983634020844
3.7 	OSEE_center	1.93712486651893
3.7 	max_bond_dim	66
3.7 	duration_ms	5222434

3.75 	tr_rho	0.999999997913461
3.75 	S_2	9.28921624548455
3.75 	OSEE_center	1.91241973691185
3.75 	max_bond_dim	75
3.75 	duration_ms	5301688

3.8 	tr_rho	1
3.8 	S_2	9.29857555863304
3.8 	OSEE_center	1.88746919540181
3.8 	max_bond_dim	65
3.8 	duration_ms	5395876

3.85 	tr_rho	1
3.85 	S_2	9.30791334113411
3.85 	OSEE_center	1.86228083254908
3.85 	max_bond_dim	66
3.85 	duration_ms	5483644

3.9 	tr_rho	1.00000001434589
3.9 	S_2	9.31722857890101
3.9 	OSEE_center	1.83686236773086
3.9 	max_bond_dim	75
3.9 	duration_ms	5565439

3.95 	tr_rho	1
3.95 	S_2	9.32652023265711
3.95 	OSEE_center	1.81122165957863
3.95 	max_bond_dim	64
3.95 	duration_ms	5656853

4 	tr_rho	1
4 	S_2	9.33578712440999
4 	OSEE_center	1.78536671695572
4 	max_bond_dim	66
4 	duration_ms	5738485

4.05 	tr_rho	0.999999999056822
4.05 	S_2	9.34502811644285
4.05 	OSEE_center	1.75930571027854
4.05 	max_bond_dim	73
4.05 	duration_ms	5815508

4.1 	tr_rho	1
4.1 	S_2	9.35424200025969
4.1 	OSEE_center	1.73304698313768
4.1 	max_bond_dim	65
4.1 	duration_ms	5916724

4.15 	tr_rho	1
4.15 	S_2	9.36342754166266
4.15 	OSEE_center	1.70659906406754
4.15 	max_bond_dim	66
4.15 	duration_ms	5998802

4.2 	tr_rho	0.99999999829932
4.2 	S_2	9.37258347739601
4.2 	OSEE_center	1.67997067829098
4.2 	max_bond_dim	76
4.2 	duration_ms	6075310

4.25 	tr_rho	1
4.25 	S_2	9.38170852872647
4.25 	OSEE_center	1.65317075936306
4.25 	max_bond_dim	65
