#time	quantity	value
3 	tr_rho	1.00000000000001
3 	S_2	2.26622871048942
3 	OSEE_center	0.558230244577063
3 	max_bond_dim	10
3 	duration_ms	436

3.05 	tr_rho	1
3.05 	S_2	2.26778616281102
3.05 	OSEE_center	0.570825353987885
3.05 	max_bond_dim	6
3.05 	duration_ms	444

3.1 	tr_rho	1
3.1 	S_2	2.26934712435593
3.1 	OSEE_center	0.583418254916885
3.1 	max_bond_dim	6
3.1 	duration_ms	451

3.15 	tr_rho	1.00000000000001
3.15 	S_2	2.27091158926119
3.15 	OSEE_center	0.596005201872116
3.15 	max_bond_dim	10
3.15 	duration_ms	458

3.2 	tr_rho	1
3.2 	S_2	2.27247954903604
3.2 	OSEE_center	0.608582503217576
3.2 	max_bond_dim	6
3.2 	duration_ms	466

3.25 	tr_rho	1
3.25 	S_2	2.27405099259707
3.25 	OSEE_center	0.621146519909745
3.25 	max_bond_dim	6
3.25 	duration_ms	474

3.3 	tr_rho	1
3.3 	S_2	2.2756259063051
3.3 	OSEE_center	0.633693664308951
3.3 	max_bond_dim	10
3.3 	duration_ms	481

3.35 	tr_rho	1
3.35 	S_2	2.27720427400419
3.35 	OSEE_center	0.646220399061297
3.35 	max_bond_dim	6
3.35 	duration_ms	489

3.4 	tr_rho	1
3.4 	S_2	2.2787860770619
3.4 	OSEE_center	0.65872323604736
3.4 	max_bond_dim	6
3.4 	duration_ms	496

3.45 	tr_rho	1.00000000000005
3.45 	S_2	2.28037129441113
3.45 	OSEE_center	0.671198735393949
3.45 	max_bond_dim	10
3.45 	duration_ms	503

3.5 	tr_rho	1
3.5 	S_2	2.28195990259365
3.5 	OSEE_center	0.683643504545595
3.5 	max_bond_dim	5
3.5 	duration_ms	511

3.55 	tr_rho	1
3.55 	S_2	2.28355187580423
3.55 	OSEE_center	0.696054197392625
3.55 	max_bond_dim	6
3.55 	duration_ms	518

3.6 	tr_rho	1.00000000000001
3.6 	S_2	2.28514718593752
