#time	operator	index	value
1.7	Z	1	0.00488546230263063
1.7	X	3	-0.0210016611284573
1.7	Y	3	0.0047451144253031
1.7	Z	3	-0.0320164491939158
1.7	X	5	-0.0106834853752439
1.7	Y	5	0.134185404758955
1.7	Z	5	0.00567952268690636

1.75	X	1	0.00818495345296569
1.75	Y	1	0.179811876139666
1.75	Z	1	0.00530223141923863
1.75	X	3	-0.0239584284351874
1.75	Y	3	0.00587411970515207
1.75	Z	3	-0.0318117496664921
1.75	X	5	-0.00801447027762102
1.75	Y	5	0.143289989545023
1.75	Z	5	0.00592787412185801

1.8	X	1	0.0127528656852187
1.8	Y	1	0.190880633725032
1.8	Z	1	0.00571882598659407
1.8	X	3	-0.0270779183748594
1.8	Y	3	0.0071626037600335
1.8	Z	3	-0.031607090741035
1.8	X	5	-0.00520949722886455
1.8	Y	5	0.15233533389767
1.8	Z	5	0.00617616352596821

1.85	X	1	0.0175280324538907
1.85	Y	1	0.201831521290897
1.85	Z	1	0.00613524607780427
1.85	X	3	-0.0303523331725138
1.85	Y	3	0.00861950265206028
1.85	Z	3	-0.0314024724094915
1.85	X	5	-0.00226971580576541
1.85	Y	5	0.161319006162953
1.85	Z	5	0.00642439091493561

1.9	X	1	0.0225076709747322
1.9	Y	1	0.212660012556444
1.9	Z	1	0.00655149176594108
1.9	X	3	-0.0337734814383654
1.9	Y	3	0.0102534029775257
1.9	Z	3	-0.0311978946638082
1.9	X	5	0.000803682238141049
1.9	Y	5	0.170238597509082
1.9	Z	5	0.00667255630414577

1.95	X	1	0.027688901894602
1.95	Y	1	0.223361647647582
1.95	Z	1	0.00696756312404932
1.95	X	3	-0.0373327932824028
1.95	Y	3	0.0120725259464944
1.95	Z	3	-0.030993357495935
1.95	X	5	0.00400946342072327
1.95	Y	5	0.179091722668198
1.95	Z	5	0.00692065970909386

2	X	1	0.0330687508624179
2	Y	1	0.233932035161288
2	Z	1	0.00738346022513893
2	X	3	-0.0410213360502224
2	Y	3	0.0140847121032191
2	Z	3	-0.0307888608978232
2	X	5	0.00734635299254442
2	Y	5	0.187876020669378
2	Z	5	0.00716870114524703

2.05	X	1	0.0386441501440278
2.05	Y	1	0.244366854192924
2.05	Z	1	0.00779918314219077
