#time	operator	index	value
1.5	X	3	0.708655254131494
1.5	Y	3	-0.419847286239822
1.5	Z	3	-0.0230638109604088
1.5	X	5	0.897517634055127
1.5	Y	5	-0.212138414739356
1.5	Z	5	0.00245721472039308

1.55	X	1	0.85929874746211
1.55	Y	1	-0.27235198711371
1.55	Z	1	-0.00478142935263268
1.55	X	3	0.69509117609978
1.55	Y	3	-0.429153810360232
1.55	Z	3	-0.0228740747985624
1.55	X	5	0.892798001450416
1.55	Y	5	-0.218378218836546
1.55	Z	5	0.00265924727698996

1.6	X	1	0.851699039925593
1.6	Y	1	-0.279221168479523
1.6	Z	1	-0.00437192837162074
1.6	X	3	0.681286390338085
1.6	Y	3	-0.438010503273995
1.6	Z	3	-0.0226843738249522
1.6	X	5	0.887953888771982
1.6	Y	5	-0.224536331550312
1.6	Z	5	0.00286123891528747

1.65	X	1	0.843923127932515
1.65	Y	1	-0.285925797094277
1.65	Z	1	-0.00396259428367464
1.65	X	3	0.667257385900332
1.65	Y	3	-0.446411217696951
1.65	Z	3	-0.0224947080330551
1.65	X	5	0.882986854599168
1.65	Y	5	-0.230610710811851
1.65	Z	5	0.00306318964470398

1.7	X	1	0.835974866416891
1.7	Y	1	-0.29246227266019
1.7	Z	1	-0.0035534270207767
1.7	X	3	0.653020823215235
1.7	Y	3	-0.454350438390213
1.7	Z	3	-0.0223050774163461
1.7	X	5	0.877898492715099
1.7	Y	5	-0.236599343724482
1.7	Z	5	0.00326509947339768

1.75	X	1	0.827858185989676
1.75	Y	1	-0.29882708343079
1.75	Z	1	-0.00314442651493806
1.75	X	3	0.63859350920469
1.75	Y	3	-0.461823287033398
1.75	Z	3	-0.0221154819682964
1.75	X	5	0.872690431490833
1.75	Y	5	-0.24250024715184
1.75	Z	5	0.00346696840806823

1.8	X	1	0.819577090902609
1.8	Y	1	-0.305016807789121
1.8	Z	1	-0.00273559269819495
1.8	X	3	0.623992372268523
1.8	Y	3	-0.468825526105501
1.8	Z	3	-0.0219259216823891
1.8	X	5	0.867364333318076
1.8	Y	5	-0.248311468307793
1.8	Z	5	0.00366879645849002

1.85	X	1	0.811135656981673
1.85	Y	1	-0.311028115780307
1.85	Z	1	-0.00232692550261393
1.85	X	3	0.609234437175308
1.85	Y	3	-0.475353561770148
1.85	Z	3	-0.0217363965521018
1.85	X	5	0.861921894121175
1.85	Y	5	-0.254031085364153
1.85	Z	5	0.00387058363296098

1.9	X	1	0.802538029516883
1.9	Y	1	-0.316857770593127
1.9	Z	1	-0.0019184248602882
1.9	X	3	0.594336799899194
1.9	Y	3	-0.481404445763748
1.9	Z	3	-0.021546906570915
1.9	X	5	0.856364842662733
1.9	Y	5	-0.259657207988602
1.9	Z	5	0.00407232993961089

1.95	X	1	0.793788421138153
1.95	Y	1	-0.322502629998358
1.95	Z	1	-0.00151009070333897
1.95	X	3	0.579316602442534
1.95	Y	3	-0.486975876286341
1.95	Z	3	-0.0213574517323095
1.95	X	5	0.850694940036202
1.95	Y	5	-0.265187977928286
1.95	Z	5	0.00427403538679327

2	X	1	0.784891109649619
2	Y	1	-0.327959647734896
2	Z	1	-0.0011019229639131
2	X	3	0.564191007684111
2	Y	3	-0.492066197896903
2	Z	3	-0.0211680320297633
2	X	5	0.844913979049884
2	Y	5	-0.270621569565298
2	Z	5	0.00447569998200052

2.05	X	1	0.775850435839274
2.05	Y	1	-0.333225874847812
2.05	Z	1	-0.000693921574188398
2.05	X	3	0.548977174292659
2.05	Y	3	-0.496674400416207
2.05	Z	3	-0.0209786474567669
2.05	X	5	0.839023783593694
2.05	Y	5	-0.275956190437042
2.05	Z	5	0.0046773237345488

2.1	X	1	0.766670801261756
2.1	Y	1	-0.338298460976199
2.1	Z	1	-0.000286086466367532
2.1	X	3	0.533692231744806
2.1	Y	3	-0.500800116842078
2.1	Z	3	-0.0207892980067959
2.1	X	5	0.833026207994706
2.1	Y	5	-0.281190081752167
2.1	Z	5	0.00487890665104425

2.15	X	1	0.757356665994283
2.15	Y	1	-0.343174655590719
2.15	Z	1	0.000121582427318056
2.15	X	3	0.518353255487043
2.15	Y	3	-0.504443620283151
2.15	Z	3	-0.0205999836733546
2.15	X	5	0.826923136501154
2.15	Y	5	-0.286321518965325
2.15	Z	5	0.00508044874331981

2.2	X	1	0.747912546367535
2.2	Y	1	-0.347851809180143
2.2	Z	1	0.000529085174609106
2.2	X	3	0.502977242280111
2.2	Y	3	-0.50760581991934
2.2	Z	3	-0.0204107044499045
2.2	X	5	0.82071648248992
2.2	Y	5	-0.291348812197032
2.2	Z	5	0.00528195001446495

2.25	X	1	0.738343012672876
2.25	Y	1	-0.352327374386385
2.25	Z	1	0.000936421843218756
2.25	X	3	0.487581085764383
2.25	Y	3	-0.51028825599818
2.25	Z	3	-0.02022146032995
2.25	X	5	0.814408187935869
2.25	Y	5	-0.296270306784645
2.25	Z	5	0.00548341047577153

2.3	X	1	0.728652686846829
2.3	Y	1	-0.35659890708735
2.3	Z	1	0.00134359250083226
2.3	X	3	0.472181552284691
2.3	Y	3	-0.512493093877637
2.3	Z	3	-0.0200322513069822
2.3	X	5	0.808000222759402
2.3	Y	5	-0.301084383775245
2.3	Z	5	0.0056848301362891

2.35	X	1	0.718846240133852
2.35	Y	1	-0.360664067427779
2.35	Z	1	0.0017505972151086
2.35	X	3	0.456795257010428
2.35	Y	3	-0.514223117129454
2.35	Z	3	-0.0198430773744895
2.35	X	5	0.801494584048129
2.35	Y	5	-0.305789460313164
2.35	Z	5	0.0058862090032769

2.4	X	1	0.708928390728887
2.4	Y	1	-0.364520620796848
2.4	Z	1	0.00215743605367852
2.4	X	3	0.441438640390005
2.4	Y	3	-0.515481719714418
2.4	Z	3	-0.0196539385259591
2.4	X	5	0.794893295512917
2.4	Y	5	-0.310383990165252
2.4	Z	5	0.00608754708433983

2.45	X	1	0.698903901400808
2.45	Y	1	-0.368166438752782
2.45	Z	1	0.00256410908414404
2.45	X	3	0.426127944974333
