value,std_dev,unit,chi_sq,verified,variable_name,backend,end_date,device_components,experiment_id
-17748.383607802105,494.42736657040217,,1.8954406524702208,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q38,Q39",5bca94ef-b063-4879-b11c-0943b8e964fd
-29835.02361363363,534.4739461205,,1.5381261054501456,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q42,Q43",5bca94ef-b063-4879-b11c-0943b8e964fd
-42253.96306593969,346.04737631830517,,1.0502192825403132,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q46,Q47",5bca94ef-b063-4879-b11c-0943b8e964fd
-37599.83889187655,410.8022164798161,,0.9356105287179177,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q51,Q50",5bca94ef-b063-4879-b11c-0943b8e964fd
-29829.657132294204,342.77826629184904,,1.330739477058935,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q57,Q58",5bca94ef-b063-4879-b11c-0943b8e964fd
-31923.02323512966,394.1344302428264,,1.5804859174428663,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q62,Q61",5bca94ef-b063-4879-b11c-0943b8e964fd
-53981.542592761914,346.8680551358953,,1.2311102591486613,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q65,Q66",5bca94ef-b063-4879-b11c-0943b8e964fd
-45904.84691618091,381.1558942301082,,1.8989349459684508,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q70,Q69",5bca94ef-b063-4879-b11c-0943b8e964fd
-36860.237814793785,416.4836457659441,,1.1027322675600335,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q79,Q78",5bca94ef-b063-4879-b11c-0943b8e964fd
-26987.194556160634,859.8166865140795,,1.040775124062347,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q87,Q86",5bca94ef-b063-4879-b11c-0943b8e964fd
-25647.629304132155,33.19391108265672,,8.78776255930611,False,Delta_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q1,5bca94ef-b063-4879-b11c-0943b8e964fd
0.010925911774393171,8174463.584299052,,8.78776255930611,False,nu_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q1,5bca94ef-b063-4879-b11c-0943b8e964fd
34352.38162177962,8174463.031774548,,8.78776255930611,False,freq_e,ibm_cusco,2023-07-25 16:50:26.329876,Q1,5bca94ef-b063-4879-b11c-0943b8e964fd
34352.35976995607,8174464.13695831,,8.78776255930611,False,freq_o,ibm_cusco,2023-07-25 16:50:26.329876,Q1,5bca94ef-b063-4879-b11c-0943b8e964fd
0.5,0.0,,8.78776255930611,False,b_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q1,5bca94ef-b063-4879-b11c-0943b8e964fd
8.440869043917417e-05,2.426108705778273e-06,,8.78776255930611,False,T2_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q1,5bca94ef-b063-4879-b11c-0943b8e964fd
0.493077421903549,0.0023345173924367336,,8.78776255930611,False,A_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q1,5bca94ef-b063-4879-b11c-0943b8e964fd
0.5064542411989527,0.0011256452564665643,,8.78776255930611,False,B_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q1,5bca94ef-b063-4879-b11c-0943b8e964fd
-0.09999999999999999,0.00787761564007794,,8.78776255930611,False,phi_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q1,5bca94ef-b063-4879-b11c-0943b8e964fd
-7869.666262262937,24.787839173810635,,0.9114267485268258,False,Delta_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q5,5bca94ef-b063-4879-b11c-0943b8e964fd
865.1101270802392,49.955896543046364,,0.9114267485268258,False,nu_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q5,5bca94ef-b063-4879-b11c-0943b8e964fd
51265.22361065682,55.67946164503038,,0.9114267485268258,False,freq_e,ibm_cusco,2023-07-25 16:50:26.329876,Q5,5bca94ef-b063-4879-b11c-0943b8e964fd
52995.4438648173,55.85565944084894,,0.9114267485268258,False,freq_o,ibm_cusco,2023-07-25 16:50:26.329876,Q5,5bca94ef-b063-4879-b11c-0943b8e964fd
0.5,0.0,,0.9114267485268258,False,b_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q5,5bca94ef-b063-4879-b11c-0943b8e964fd
0.0001696692214538769,6.905837623944346e-06,,0.9114267485268258,False,T2_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q5,5bca94ef-b063-4879-b11c-0943b8e964fd
0.48265701681388107,0.002542404443770726,,0.9114267485268258,False,A_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q5,5bca94ef-b063-4879-b11c-0943b8e964fd
0.497771070740511,0.0010414812511364375,,0.9114267485268258,False,B_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q5,5bca94ef-b063-4879-b11c-0943b8e964fd
0.013901263742591048,0.007203479242271754,,0.9114267485268258,False,phi_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q5,5bca94ef-b063-4879-b11c-0943b8e964fd
-32463.54080785513,31.06927475662663,,78.2080867236506,False,Delta_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q9,5bca94ef-b063-4879-b11c-0943b8e964fd
26344.231672634527,20.207248940831022,,78.2080867236506,False,nu_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q9,5bca94ef-b063-4879-b11c-0943b8e964fd
53880.6908647794,37.050971938464684,,78.2080867236506,False,freq_e,ibm_cusco,2023-07-25 16:50:26.329876,Q9,5bca94ef-b063-4879-b11c-0943b8e964fd
1192.2275195103434,37.07412798346104,,78.2080867236506,False,freq_o,ibm_cusco,2023-07-25 16:50:26.329876,Q9,5bca94ef-b063-4879-b11c-0943b8e964fd
0.5,0.0,,78.2080867236506,False,b_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q9,5bca94ef-b063-4879-b11c-0943b8e964fd
0.00018262389641618767,5.813541409185937e-06,,78.2080867236506,False,T2_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q9,5bca94ef-b063-4879-b11c-0943b8e964fd
0.38285899789081046,0.003528533080436119,,78.2080867236506,False,A_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q9,5bca94ef-b063-4879-b11c-0943b8e964fd
0.5999999999999999,0.0015460702270678442,,78.2080867236506,False,B_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q9,5bca94ef-b063-4879-b11c-0943b8e964fd
0.09999999999999999,0.01092202862284342,,78.2080867236506,False,phi_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q9,5bca94ef-b063-4879-b11c-0943b8e964fd
-13795.17854654872,38.83931031656431,,1.060835227156774,False,Delta_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q23,5bca94ef-b063-4879-b11c-0943b8e964fd
1053.8169871133177,66.1016786241466,,1.060835227156774,False,nu_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q23,5bca94ef-b063-4879-b11c-0943b8e964fd
45151.00446633796,76.58872965254047,,1.060835227156774,False,freq_e,ibm_cusco,2023-07-25 16:50:26.329876,Q23,5bca94ef-b063-4879-b11c-0943b8e964fd
47258.638440564595,76.7464290752524,,1.060835227156774,False,freq_o,ibm_cusco,2023-07-25 16:50:26.329876,Q23,5bca94ef-b063-4879-b11c-0943b8e964fd
0.5,0.0,,1.060835227156774,False,b_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q23,5bca94ef-b063-4879-b11c-0943b8e964fd
0.00011413464847196666,4.8760326787277035e-06,,1.060835227156774,False,T2_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q23,5bca94ef-b063-4879-b11c-0943b8e964fd
0.42873756721325457,0.003621969098312122,,1.060835227156774,False,A_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q23,5bca94ef-b063-4879-b11c-0943b8e964fd
0.5051270295760502,0.001158178507095686,,1.060835227156774,False,B_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q23,5bca94ef-b063-4879-b11c-0943b8e964fd
0.03177249676690036,0.009541609110338847,,1.060835227156774,False,phi_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q23,5bca94ef-b063-4879-b11c-0943b8e964fd
-5596.553766898185,45.64290603584726,,1.5111819937327626,False,Delta_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q31,5bca94ef-b063-4879-b11c-0943b8e964fd
1239.0494997974383,63.157895482927444,,1.5111819937327626,False,nu_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q31,5bca94ef-b063-4879-b11c-0943b8e964fd
53164.39673330438,77.77604127208521,,1.5111819937327626,False,freq_e,ibm_cusco,2023-07-25 16:50:26.329876,Q31,5bca94ef-b063-4879-b11c-0943b8e964fd
55642.49573289925,78.07225288476077,,1.5111819937327626,False,freq_o,ibm_cusco,2023-07-25 16:50:26.329876,Q31,5bca94ef-b063-4879-b11c-0943b8e964fd
0.5,0.0,,1.5111819937327626,False,b_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q31,5bca94ef-b063-4879-b11c-0943b8e964fd
9.810269676117826e-05,3.8158885321775395e-06,,1.5111819937327626,False,T2_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q31,5bca94ef-b063-4879-b11c-0943b8e964fd
0.4301163333535025,0.0036553273146327932,,1.5111819937327626,False,A_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q31,5bca94ef-b063-4879-b11c-0943b8e964fd
0.5078693302120415,0.0011680885926712268,,1.5111819937327626,False,B_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q31,5bca94ef-b063-4879-b11c-0943b8e964fd
0.027966433036388298,0.010076937649053435,,1.5111819937327626,False,phi_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q31,5bca94ef-b063-4879-b11c-0943b8e964fd
-4440.782847403461,42.17455990794917,,6.056968023388243,False,Delta_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q38,5bca94ef-b063-4879-b11c-0943b8e964fd
6380.703700531878,31.955189397531758,,6.056968023388243,False,nu_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q38,5bca94ef-b063-4879-b11c-0943b8e964fd
49178.51345206466,52.91858945233023,,6.056968023388243,False,freq_e,ibm_cusco,2023-07-25 16:50:26.329876,Q38,5bca94ef-b063-4879-b11c-0943b8e964fd
61939.92085312842,52.908204997886315,,6.056968023388243,False,freq_o,ibm_cusco,2023-07-25 16:50:26.329876,Q38,5bca94ef-b063-4879-b11c-0943b8e964fd
0.5,0.0,,6.056968023388243,False,b_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q38,5bca94ef-b063-4879-b11c-0943b8e964fd
0.00012729854780810498,3.958512170341791e-06,,6.056968023388243,False,T2_PO,ibm_cusco,2023-07-25 16:50:26.329876,Q38,5bca94ef-b063-4879-b11c-0943b8e964fd
